53989,54002,60691,60689,51842
05:26,05:34,05:46,05:47,06:08
05:56,06:04,06:16,06:17,06:38
06:13,06:21,06:34,06:35,06:56
06:25,06:33,06:46,06:47,07:09
06:40,06:48,07:01,07:02,07:24
06:50,06:58,07:11,07:12,07:34
06:58,07:06,07:19,07:20,07:42
07:10,07:18,07:32,07:33,07:58
07:23,07:31,07:46,07:47,08:13
07:33,07:41,07:56,07:57,08:23
07:42,07:51,08:06,08:07,08:35
07:55,08:04,08:19,08:20,08:48
08:10,08:19,08:34,08:35,09:03
08:25,08:34,08:49,08:50,09:18
08:39,08:48,09:02,09:03,09:28
08:54,09:03,09:17,09:18,09:43
09:09,09:18,09:32,09:33,09:58
09:24,09:33,09:47,09:48,10:13
09:53,10:02,10:16,10:17,10:42
10:23,10:32,10:46,10:47,11:12
10:53,11:02,11:16,11:17,11:43
11:22,11:31,11:45,11:46,12:13
11:50,11:59,12:13,12:14,12:41
12:17,12:26,12:40,12:41,13:08
12:44,12:53,13:08,13:09,13:36
13:22,13:31,13:46,13:47,14:13
13:53,14:01,14:16,14:17,14:43
14:23,14:31,14:46,14:47,15:14
14:51,14:59,15:16,15:17,15:44
15:23,15:31,15:48,15:49,16:17
15:32,15:40,15:57,15:58,16:26
15:48,15:56,16:12,16:13,16:41
16:03,16:11,16:27,16:28,16:57
16:16,16:24,16:40,16:41,17:10
16:32,16:40,16:56,16:57,17:26
16:51,16:59,17:15,17:16,17:44
17:07,17:15,17:31,17:32,18:00
17:26,17:34,17:48,17:49,18:17
