54527,58111,54440,60348
05:40,05:48,05:55,-
06:13,06:22,06:28,06:44
06:35,06:44,06:50,07:06
06:49,06:58,07:04,07:21
07:05,07:14,07:20,07:37
07:20,07:29,07:35,07:52
07:29,07:38,07:44,08:01
07:40,07:49,07:55,08:12
07:54,08:03,08:09,08:28
08:12,08:21,08:27,08:46
08:24,08:34,08:40,08:57
08:44,08:54,09:00,09:17
09:12,09:21,09:28,09:47
09:42,09:51,09:57,10:16
10:11,10:20,10:26,10:45
10:26,10:35,10:41,11:00
11:00,11:09,11:16,11:37
11:30,11:39,11:46,12:07
11:56,12:05,12:12,12:33
12:26,12:35,12:43,13:05
12:56,13:05,13:12,13:33
13:25,13:34,13:41,14:02
13:55,14:04,14:11,14:32
14:25,14:35,14:42,15:03
14:53,15:04,15:12,15:35
15:09,15:20,15:28,15:51
15:25,15:36,15:44,16:07
15:53,16:04,16:13,16:37
16:12,16:22,16:31,16:55
16:23,16:32,16:41,17:05
16:42,16:51,17:00,17:24
16:54,17:03,17:12,17:37
17:12,17:20,17:28,17:51
17:25,17:33,17:40,18:02
17:42,17:51,17:58,18:18
17:54,18:03,18:10,18:30
18:13,18:22,18:28,18:47
18:23,18:32,18:38,18:57
18:39,18:48,18:54,19:12
18:53,19:02,19:08,19:26
19:25,19:33,19:39,19:55
20:23,20:31,20:37,20:53
21:23,21:31,21:36,21:52
22:23,22:31,22:36,22:50
23:22,23:30,23:35,23:49
00:19,00:27,00:31,00:44
01:17,01:25,01:31,-
02:03,02:11,02:17,-
